flid;ord;ordflokkur;texti;fjoldi_risamalheild;fjoldi_ritmalssafn
11332;fiskisúpa;n;súpa soðin úr fiski og ýmsu grænmeti;208;6
45382;vetrarbúningur;n;vetrargervi, t.d. dýra og fugla;3;5
10368;eyri;n;landræma sem skagar út í á eða sjó;3071;0
38301;sogæð;n;æð sem flytur sogæðavökva;1;0
15667;glaðlegur;adj;glaður í fasi og ásýnd;612;0
38311;sokkaskipti;n;skipta um sokka;1;0
14833;gangnakofi;n;lítið hús, skýli eða afdrep gangnamanna í smölun á afrétti;5;6
34200;saltkjöt;n;lambakjöt sem legið hefur í saltpækli;925;0
33825;rúm;n;pláss, rými;49552;0
33825;rúm;n;sá hluti tilverunnar sem menn skynja að hægt er að hreyfast í (á alla vegu), vídd;49552;0
21732;hvassorður;adj;hlífðarlaus í orðum, orðhvass;1;5
47184;þjóðvegur;n;opinber vegur, aðalferða- og flutningaleið um land;1749;0
39456;stjórnarfarsréttur;n;stjórnsýsluréttur;16;4
6254;boðinn;adj;vera fús til að hjálpa;9706;0
19242;hesputré;n;(tré)grind til að vinda garnhespu á;10;0
6254;boðinn;adj;vera boðið í mat;9706;0
2733;aftansöngur;n;guðsþjónusta síðdegis eða að kvöldi til;1961;0
2569;aflátssala;n;útgáfa aflátsbréfs gegn gjaldi (í kaþólsku kirkjunni);4;0
42136;tómatsósa;n;bragðmikil rauð sósa búin til úr tómötum o.fl.;510;0
38683;spilastokkur;n;pakki af spilum;114;1
35469;síldarverksmiðja;n;síldarbræðsla;1386;0
57887;nauðsynjaerindi;n;erindi sem brýnt er að sinna;5;5
21457;hundgá;n;gelt í hundi;120;0
46001;víðátta;n;afar stórt landflæmi þar sem sér vítt yfir;265;0
12102;fljótaskrift;n;óvandað verk sem unnið er í flýti;298;0
24649;kringlukast;n;íþróttagrein, fólgin í því að varpa kringlu sem lengst með annarri hendi;439;0
7711;bæverskur;adj;frá Bæjaralandi eða kenndur við Bæjaraland;7;0
11491;fjallgarður;n;samhangandi röð fjalla;199;0
27497;makka;v;vera með leynilegt ráðabrugg;391;0
21067;hrossaprang;n;brask með hesta;9;3
2353;aðili;n;samtök launafólks og atvinnurekenda;55800;0
2353;aðili;n;ríki, sveitarfélög og stofnanir á þeirra vegum;55800;0
42641;tvítekning;n;það að gera eða segja eitthvað tvisvar;58;0
31022;ófær;adj;það er mjög slæmt, afleitt;8680;0
2700;afsprengi;n;fyrirbæri eða afleiðing tiltekinna aðstæðna;1655;0
28733;mjúkur;adj;dálítið feitur;2010;0
8844;dúðaður;adj;í þykkum og miklum fötum, kappklæddur;71;10
29115;mysuostur;n;dökkur (sætur) ostur gerður úr mysu;21;0
20789;hreinritun;n;það að hreinrita, hreinskrifa;13;1
48620;öskukarl;n;maður sem vinnur við sorphirðu;16;5
50717;regnfang;n;garðplöntutegund af körfublómaætt, hávaxin og sterkbyggð með fjaðurskiptum blöðum;14;5
50772;týsfjóla;n;ísklensk plöntutegund;5;0
16189;góðmeti;n;góður matur;199;0
26828;ljúflingur;n;ljúfur maður, ljúfmenni;506;0
46946;þétting;n;það að e-ð þéttist, það að þétta e-ð;849;0
32658;raspur;n;trésmíðaverkfæri, flatt eða sívalt járn alsett litlum göddum, notað til að móta tré;23;0
27865;maur;n;skordýr af ætt Formicidae, gerir sér mikil bú með mörgum einstaklingum;158;0
36457;skinka;n;reykt (og soðið) svínakjöt, oftast haft í sneiðum sem álegg;722;6
35518;síonisti;n;sá eða sú sem aðhyllist síonisma;11;4
40253;sultutau;n;sulta;25;0
14836;gangráður;n;tæki sem komið er fyrir í líkama manns til að jafna hjartslátt;87;1
14836;gangráður;n;tæki sem komið er fyrir í líkama manns til að jafna hjartslátt;87;0
38030;smurostur;n;mjúkur ostur til að smyrja á brauð;47;4
56559;embættiskerfi;n;embættismannakerfi;82;2
14836;gangráður;n;tæki sem stillir gang vélar;87;1
14836;gangráður;n;tæki sem stillir gang vélar;87;0
9638;einleikur;n;flutningur leikara á verki sem samið er fyrir eina persónu;683;0
34204;saltsíld;n;söltuð síld;572;0
50848;slagverksleikari;n;sá eða sú sem spilar á slagverk;394;1
51974;trítilóður;adj;sem lætur tryllingslega eða reiðilega, óhaminn;34;3
50851;bassaleikari;n;sá eða sú sem spilar á bassa;3130;3
7835;dagvist;n;staður þar sem börn eða aðrir dvelja yfir daginn;886;8
13033;fótstallur;n;undirstaða, t.d. undir myndastyttu, sökkull;4;0
34959;selló;n;stórt strengjahljóðfæri með fjórum strengjum sem stendur á gólfi;3349;5
17262;gönguhrólfur;n;göngugarpur;16;2
16605;grind;n;uppistaða timburhúss;2292;0
16605;grind;n;rammi með samsíða stöngum í, t.d. til að nota í bakarofni;2292;0
42475;tunga;n;vöðvi í munni;2835;0
42475;tunga;n;mál, tungumál;2835;0
18924;helgistaður;n;staður sem vegna trúar eða sögulegs mikilvægis er haldinn heilagur;226;0
38818;sprettharður;adj;sem hleypur hratt;89;0
19005;hempa;n;embættisbúningur presta, síður svartur kjóll með löngum ermum;12;0
19005;hempa;n;síð og víð yfirhöfn;12;0
28921;móttaka;n;það að taka á móti e-m eða e-u;3118;0
28921;móttaka;n;formlegt stutt samkvæmi af tilteknu tilefni;3118;0
47263;þokulúður;n;skipslúður sem þeyttur er í þoku;53;0
44998;veirusjúkdómur;n;sjúkdómur af völdum veiru;144;6
42568;tvíefldur;adj;mjög sterkur, þróttmikill;310;0
12133;flokksbrot;n;lítill hluti stjórnmálaflokks;131;0
30233;nýrækt;n;land sem hefur (tiltölulega) nýlega verið brotið til ræktunar;218;0
26172;lengd;n;þetta er ekki hægt til frambúðar, til framtíðar;27584;0
26172;lengd;n;þau verða óánægð eftir því sem tíminn líður;27584;0
43831;úrlendisréttur;n;friðhelgi og réttur sem erlendir sendiráðsmenn njóta í landinu sem þeir starfa (þeir eru undir lögum eigin lands);2;4
24925;kúla;n;bólguhnúður, t.d. á enni eftir högg;849;0
24925;kúla;n;hlutur í laginu eins og hnöttur;849;0
32546;rakakrem;n;andlitskrem sem viðheldur æskilegu rakastigi húðarinnar;518;1
26063;leikfimiskennari;n;kennari sem kennir leikfimi, íþróttakennari;25;0
41907;tímavél;n;tæki sem lætur mann ferðast fram og aftur í tíma (ekki enn búið að finna það upp);451;2
39752;strandstaður;n;vettvangur þar sem skip eða bátur hefur strandað;19;8
18350;hefill;n;band til að hefja og lækka segl á skipi;50;0
56280;illseljanlegur;adj;sem erfitt er að selja;11;1
13418;frásagnaraðferð;n;framsetning og efnistök höfundar sögu;190;0
31891;páfastóll;n;embætti páfa;33;5
26811;ljósrit;n;afrit tekið með ljósritunarvél;2648;2
42475;tunga;n;mjó landspilda milli tveggja vatnsfalla, gilja o.fl.;2835;0
23493;karlmenni;n;hugrakkur maður, hraustmenni;294;0
23493;karlmenni;n;vera mjög sterkur;294;0
60563;týtulíngresi;n;algeng grastegund á Íslandi;2;3
33803;rúbla;n;heiti gjaldmiðils í Rússlandi;127;0
20419;holdýr;n;fylking einfaldra dýra (Cnidaria) sem finnast aðallega í sjó, þar á meðal sæfíflar, marglyttur og kórallar;15;0
30503;oflof;n;mikið lof, meira en innistæða er fyrir;159;0
19547;hitastillir;n;tæki til að stilla hitastig, t.d. í herbergi eða blöndunartæki;25;0
26416;lingerður;adj;ekki sterkur, kraftlítill, duglítill;1;0
40121;stöðugildi;n;staða miðað við fullt starf;5576;10
28694;mjaltakona;n;kona á sveitabæ sem sér um að mjólka kýrnar;1;2
14419;fyrirsláttur;n;uppgerðarástæða, yfirvarp;807;0
3119;alull;n;hrein ull;6;0
36426;skilorðstími;n;tími sem dæmdur maður þarf að vera afbrotalaus til að sleppa við fangelsisvist;58;2
30387;nögl;n;hornmyndun fremst ofan á tám og fingrum;1345;0
2689;afskurður;n;það sem skorið er af e-u, t.d. utan af grænmeti, pappír eða kökum;144;0
42201;tramp;n;það að trampa;67;5
16207;gól;n;það að góla, óp;150;0
47195;þjófabæli;n;dvalarstaður þjófa;18;0
13994;frændsemi;n;líffræðilegur skyldleiki, ættartengsl;629;0
24746;krukka;n;sívalt gler- eða leirílát með loki, fyrir sultu, marmelaði o.fl.;1246;0
31436;órjúfandi;adj;sem ekki rofnar, sem ekki verður slitinn í sundur, órjúfanlegur;229;0
35694;sjávarútvegur;n;atvinnustarfsemi í kringum fiskveiðar og fiskvinnslu;5920;0
42351;trúarsetning;n;kenningaratriði sem felur í sér trúarlega grundvallarhugsun;71;0
24271;klæðning;n;lag sem vegur er þakinn með;1259;0
24271;klæðning;n;efni sem hús er klætt með, veggklæðning;1259;0
18164;hárauður;adj;með skærrauðum lit, hárauður;20;0
16401;grámi;n;grár blær, grár litur;77;0
4610;baðmotta;n;motta höfð á baðherbergi;2;1
23138;járnsmiðja;n;verkstæði þar sem járnsmíðar eru stundaðar;58;0
12145;flokkssystir;n;kona í sama stjórnmálaflokki og annar;431;1
51649;stálblár;adj;blágrár eins og stál;4;0
21723;hvarmaljós;n;auga;11;0
5716;bjálfalegur;adj;eins og bjálfi, kjánalegur, asnalegur;6;0
29773;neyslufrekur;adj;sem þarf mikið eldsneyti;5;2
55356;afhendingardagur;n;dagur sem afhenda á það sem keypt er;345;4
43873;útafliggjandi;adj;í liggjandi stöðu;34;1
31808;óöruggur;adj;sem er óviss með sjálfan sig og skortir sjálfstraust;922;5
4388;ásatrúarmaður;n;sá eða sú sem játar trú á æsi, hin fornu norrænu goð;17;4
