flid;ord;ordflokkur;texti;fjoldi_risamalheild;fjoldi_ritmalssafn
3370;annmarki;n;fyrirstaða, galli;1162;0
31209;ókostur;n;slæmur eiginleiki, galli;1172;0
44526;vansmíði;n;galli á því hvernig e-ð er gert;53;0
44526;vansmíði;n;galli á því hvernig e-ð er gert;53;0
44526;vansmíði;n;galli á því hvernig e-ð er gert;53;0
44526;vansmíði;n;galli á því hvernig e-ð er gert;53;0
3370;annmarki;n;það eru vankantar, ágallar, takmarkanir á þessu;1162;0
56997;lerkisveppur;n;svepptegund góð til átu;27;1
4963;barnmargur;adj;"sem á mörg börn; sem hefur mörg börn";20;0
31714;óviðurkvæmilegur;adj;óviðeigandi;20;0
6531;bókstaflegur;adj;sem fylgir formi eða orðum nákvæmlega;28;11
18173;hárfínn;adj;mjög smágerður eða fínlegur;90;0
29463;nákvæmur;adj;sem tekur mið af öllum smáatriðum, ítarlegur;2021;0
31366;ónákvæmur;adj;sem tekur ekki mið af öllum atriðum, ekki réttur í smáatriðum;187;5
29463;nákvæmur;adj;sem lítur vandlega til allra smáatriða, sem vandar sig;2021;0
31366;ónákvæmur;adj;sem lítur ekki til allra smáatriða, sem vandar sig ekki;187;5
43018;umskapa;v;skapa (e-ð) upp á nýtt, gera róttæka breytingu (á e-u);143;0
34163;sakfelling;n;það að vera sakfelldur (dæmdur sekur);802;0
55331;þjóðargersemi;n;verðmæti, áþreifanleg sem óáþreifanleg, sem eru sameign þjóðar, þjóðarverðmæti;317;4
28240;menntaskólastig;n;"skólastig sem kennt er í menntaskóla; framhaldsskólastig";16;3
41256;taprekstur;n;rekstur sem tap er af;2026;5
36684;skjatti;n;lítill eða léttur poki;3;0
45626;viðurværi;n;framfærsla, afkoma;751;0
13131;framfærsla;n;það að sjá fyrir sér og/eða öðrum;871;0
41349;tár;n;lítill sopi af áfengi;7848;0
41349;tár;n;vökvi úr tárakirtlum augnanna;7848;0
27468;magamál;n;borða meira en maður hefur gott af eða þolir;94;0
18624;heimagrafreitur;n;grafreitur við sveitabæ;10;0
18727;heimilismaður;n;sá eða sú sem býr á tilteknu heimili;459;0
46302;vænghaf;n;bilið milli ystu brodda beggja vængja á fugli (eða flugvél);365;8
56627;hláturkliður;n;samfelldur hlátur í mörgum;2;1
20338;hnúfubakur;n;tegund skíðishvals;392;0
2885;aldagamall;adj;mörg hundruð ára gamall;54;11
12698;fornminjar;n;leifar um fornan búskap eða menningu, t.d. af húsum og munum, fornleifar;1609;3
3443;arfleiðsla;n;það að ráðstafa eigum sínum eftir sinn dag með erfðaskrá;5;8
58489;samúðarverkfall;n;verkfall til stuðnings öðrum aðila í verkfalli;72;5
20604;hórkarl;n;karlmaður sem drýgir hór;25;0
19990;hljóðlega;adv;með kyrrð og ró;1203;3
35493;símavarsla;n;það að svara í síma í fyrirtæki eða stofnun;15;2
29763;neyðarsending;n;skilaboð í gegnum neyðarsendi;17;1
10592;farg;n;eitthvað þungt sem hvílir á einhverju;334;0
44866;vefjast;v;vera hningsnúinn utan um e-ð;1293;2
44866;vefjast;v;það er erfitt fyrir mig að ..., ég á í vandræðum með að ...;1293;2
29003;múmía;n;lík sem smurt hefur verið efnum til varnar roti, smyrðlingur;148;0
20066;hlunkur;n;hljóð sem heyrist þegar e-ð þungt dettur á trégólf, dynkur;98;0
27101;lúffa;v;láta undan, láta í minni pokann (fyrir e-m);241;0
12365;flutningavagn;n;járnbrautarvagn sem ætlaður er til að flytja vörur og hráefni;60;6
13333;framúrakstur;n;það að bifreið tekur fram úr annarri á vegi eða götu;1272;4
32942;reiðarslag;n;gífurlegt áfall;2205;0
7621;bægja;v;ýta (e-u) frá;1777;0
14382;fyrirkvíðanlegur;adj;sem veldur áhyggjum og kvíða;9;0
15732;glápa;v;horfa (á e-ð), fast og af forvitni;569;0
19416;hilla;v;niðurstöðu er að vænta, niðurstaða er á næsta leiti;1231;0
19416;hilla;v;turninn er í sjónmáli;1231;0
22557;innbundinn;adj;sem búið er að binda inn;30;0
46088;vír;n;málmþráður, grannur eða sver;1168;0
34677;sauðmeinlaus;adj;mjög meinlaus, sem gerir engum mein;35;0
22098;hæla;v;hrósa (e-m/e-u), lofa (e-n/e-ð);5134;0
31466;ósamkvæmur;adj;ekki í samræmi við e-ð;91;0
62533;ársvextir;n;vextir á einu ári, t.d. á láni eða innistæðu í banka;368;5
51350;átakamikill;adj;sem einkennist af togstreitu og átökum, dramatískur;33;0
16375;grautarlegur;adj;óskýr, ruglingslegur;8;0
7919;dauðarefsing;n;refsing sem felst í því að taka dæmdan mann af lífi;813;9
59657;munnræpa;n;óstöðvandi málæði;8;4
52483;auðginntur;adj;sem auðvelt er að ginna;3;0
16043;glötun;n;það að glatast;967;0
16761;grófkorna;adj;með grófum kornum;94;1
22098;hæla;v;hæla honum mikið;5134;0
36232;skefla;v;snjóa svo skafl myndast;3;0
40113;stærðfræðilegur;adj;sem varðar stærðfræði;44;0
8966;dýpi;n;það að vera djúpur;10175;0
35250;siðspilling;n;spillt siðgæði;46;2
37760;slóðaskapur;n;það að draga það að sinna nauðsynlegu verkefnum, framtaksleysi;64;0
40223;suðuþvottur;n;þvottur í mjög heitu eða sjóðandi vatni;1;1
46729;þakkarverður;adj;sem verðskuldar þakklæti;24;0
4479;ástúðlegur;adj;sem sýnir ást, blíðu og nærgætni;86;0
8030;dátt;adv;hlæja glaðlega;2494;0
6001;blíðlega;adv;á blíðan hátt, með mildi og hlýleika;801;8
46321;væntumþykja;n;það að þykja vænt um e-n, ástartilfinning, ást;1832;0
8030;dátt;adv;af gleði, fjöri;2494;0
28463;mildilega;adv;með mildi, blíðlega;387;0
18296;hátterni;n;framkoma, hegðun;1694;5
10648;fasisti;n;fylgismaður fasisma;206;0
3306;andstæður;adj;gagnstæður, andvígur;3718;0
14674;gagnbyltingarsinni;n;sá eða sú sem vill gera byltingu gegn aðalbyltingu;1;2
12888;fógetavald;n;valdheimildir fógeta, lögum samkvæmt;42;5
8117;deyfa;v;gera (e-ð) daufara, veikara;1035;0
8117;deyfa;v;gefa (e-m) deyfilyf, minnka sársauka (e-s) með lyfi;1035;0
21155;hryggjarliður;n;eitt af 26 beinum í hryggnum;54;0
21352;hugsanaflutningur;n;það þegar sterk hugsun eins manns vekur sömu hugsun hjá öðrum;16;0
21581;húsameistari;n;arkitekt;795;0
21702;hvalveiðimaður;n;sjómaður sem stundar hvalveiðar;40;0
22228;höfuðstóll;n;stöðug fjárupphæð sem er látin safna vöxtum, gefa arð;6180;0
3728;auga;n;það er sjálfsagt, segir sig sjálft;29959;0
4621;baga;v;valda (e-m) óþægindum, sársauka eða erfiðleikum;716;0
19364;hér;adv;til nánari ábendingar með ábendingarfornafni, hérna;2217785;0
13179;framhlaup;n;grófkorna skriða;135;0
13179;framhlaup;n;það að skriðjökull hleypur skyndilega fram langar leiðir (sökum þrýstings ofan frá);135;0
48393;öldubrjótur;n;skjólgarður við höfn til að hefta öldugang;24;0
20838;hremming;n;óþægilg staða, óheppileg uppákoma;15;0
8135;digurbarkalegur;adj;drjúgur með sig, einkum í tali;10;4
30788;orna;v;hlýja (sér);349;0
30056;notfæra;v;færa sér hana í nyt, hagnýta sér hana;5520;0
53990;redda;v;útvega (e-m e-ð), bjarga (e-m) um (e-ð);3372;0
39222;steinsnar;n;stuttur spölur, örstutt vegalengd;1664;0
20328;hnupl;n;það að hnupla, smávægilegur stuldur;246;0
3371;annríki;n;það að hafa mikið að gera, hafa í mörgu að snúast;2068;0
42638;tvítaka;v;segja eða gera (e-ð) tvisvar;88;0
48395;öldufaldur;n;efsti hluti sjávar- eða vatnsöldu sem brotnar og freyðir, bárufaldur;3;0
11139;félagsvísindi;n;ákveðin háskólafög sem fjalla um manninn og samfélagið, s.s. félagsfræði, fjölmiðlafræði og mannfræði;246;0
23089;jarðvist;n;dvöl á jörðinni, jarðneskt líf;2007;5
18842;heimþrá;n;löngun að komast heim;1295;4
44852;veðursæll;adj;sem einkennist af góðu veðri, góðviðrasamur;22;0
41358;társtokkinn;adj;alvotur af tárum;7;0
45173;verk;n;með beinum aðgerðum;163999;0
19109;herlegheit;n;eitthvað glæsilegt eða stórfenglegt;83;0
31505;ósk;n;e-ð sem maður óskar sér, langar í;84397;0
24850;kuldalega;adv;sem virðist kaldur;299;5
24850;kuldalega;adv;með köldu viðmóti, óvingjarnlega;299;5
10045;endanlega;adv;að endingu, með lyktum;40903;2
5674;bjakk;int;lýsir ógeði á einhverju;17;5
38031;smurstöð;n;bifreiðaverkstæði sem sérhæfir sig í viðhaldi bílvéla;206;5
35643;sjálfstæðisyfirlýsing;n;yfirlýsing um sjálfstæði, einkum ríkis;179;5
11858;fjörbaugsgarður;n;refsing sem í er falinn brottrekstur úr landi um þriggja ára skeið með tilteknum skilyrðum;10;3
45173;verk;n;það sem skapað er, t.d. bók, málverk;163999;0
45173;verk;n;búnaður, einkum í klukku, gangverk;163999;0
2589;aflíðandi;adj;sem hefur lítinn en jafnan halla;467;0
2589;aflíðandi;adj;sem líður að lokum, sem lýkur senn;467;0
20923;hringavitleysa;n;endaleysa, fjarstæða;279;0
9898;eldi;n;það að ala dýr í atvinnuskyni;9408;0
27061;lund;n;skapgerð, skap, lundarfar;18276;0
27061;lund;n;háttur, leið;18276;0
59856;reifa;v;fjalla um (e-ð), ræða (e-ð);1850;0
32980;reifa;v;vefja (e-n/e-ð) í efnislengjur;1850;0
22454;illvættur;n;ill vera, ófreskja, óvættur;1;1
22454;illvættur;n;ill vera, ófreskja, óvættur;1;0
22454;illvættur;n;ill vera, ófreskja, óvættur;1;1
22454;illvættur;n;ill vera, ófreskja, óvættur;1;0
13455;freista;v;leitast við, reyna það;14445;0
13455;freista;v;gera (e-m) lokkandi tilboð;14445;0
6758;bregðast;v;ganga á bak orða sinna, rjúfa tryggð (við e-n);75596;1
6758;bregðast;v;sýna viss viðbrögð, sýna svörun, svara;75596;1
6758;bregðast;v;misheppnast, koma ekki til, verða ekki;75596;1
28936;muna;v;ég gleymi ekki því sem hann gerði eða sagði í óþökk minni, mér til miska eða skapraunar;79547;0
28936;muna;v;muna ekki eftir því;79547;0
45090;vemmilegur;adj;sem vekur ógeð;7;0
53101;slóttugheit;n;það að vera slóttugur, slægð;6;4
37665;slembiúrtak;n;tilviljunarkennt úrtak (við rannsóknir, skoðanakönnun o.þ.h.);322;3
28787;molna;v;falla í sundur í mola;539;0
11321;fiskmat;n;gæðaákvörðun á fiski;247;4
51463;meinhæðinn;adj;mjög hæðinn;56;0
16451;greiðfær;adj;sem auðvelt er að ferðast um;601;0
17004;gufa;v;breytast í gufu, stíga upp í formi gufu;1911;0
17004;gufa;v;hverfa;1911;0
20916;hringa;v;beygja líkamann í hring;939;0
38226;snúast;v;verða mótfallinn, andsnúinn (e-u);34761;1
38226;snúast;v;fara í hringi;34761;1
38226;snúast;v;taka viðbragð;34761;1
38226;snúast;v;breytast, fara í öfuga átt;34761;1
38226;snúast;v;sinna erindum;34761;1
38226;snúast;v;breyta afstöðu sinni;34761;1
38226;snúast;v;hafa e-ð að viðfangsefni, varða e-ð;34761;1
38226;snúast;v;þróast út í (e-ð);34761;1
22015;hýrga;v;gleðja (e-n), ylja (e-m);11;0
60208;heimskautasvæði;n;svæði í grennd við norður- eða suðurheimskautið;69;2
56794;sárkvarta;v;kvarta mikið;3;2
2612;afmán;n;skammaryrði, oft í ávarpi (við mann eða dýr);13;0
3306;andstæður;adj;sem er til ógagns, óhagstæður;3718;0
26534;lífeyrisþegi;n;sá eða sú sem fær lífeyri;758;3
44082;útleggja;v;túlka (e-ð), skýra (e-ð);524;0
44082;útleggja;v;þýða (e-ð) lauslega;524;0
5114;beður;n;rúm;68;0
5114;beður;n;undirlag;68;0
5150;beinharður;adj;borga í reiðufé;12;0
38947;staðlaus;adj;úr lausu lofti gripinn, sem grundvallast ekki á neinu, sem á sér engan stað;37;0
2258;aðalsmerki;n;kostur sem einkennir e-n/e-ð;3358;0
38947;staðlaus;adj;fjarstæða, ósannindi;37;0
4078;áhrifasvæði;n;hérað eða landsvæði þar sem áhrif, t.d. stórveldis ná til;1602;0
5291;berdreymi;n;það að dreyma óorðna hluti, það að vera berdreyminn;27;0
5985;blindraletur;n;sérstakt stafróf, upphleyptir stafir sem blindir og sjónskertir geta lesið með fingrunum, punktaletur;111;6
59101;brennivínstár;n;dálítið af brennivíni;12;0
12212;flón;n;grunnhygginn, kjáni;237;0
13212;framkvæmdavald;n;stjórnsýsluvald sem framkvæmir ákvarðanir löggjafans, m.a. ríkisstjórn landsins;727;4
13910;frystirými;n;staður, rými til frystingar;52;1
55590;gervileður;n;tilbúið efni sem líkist leðri;21;4
49293;glerhlaup;n;gagnsær hlaupkenndur vökvi í auganu;24;1
19050;herbragð;n;aðgerð sem á að koma andstæðingi á óvart;360;0
50708;passíublóm;n;klifurplanta af ættkvísl Passiflora, með stórum blómum;1;1
32077;pípuorgel;n;stórt orgel sem myndar tón þegar loftstraumur úr belg streymir í misstórar og -víðar málmpípur;193;6
29786;neytendasamtök;n;hagsmunasamtök sem gæta hagsmuna kaupenda vöru eða þjónustu;382;0
38226;snúast;v;sinna eða þjóna henni;34761;1
49437;svæfingarlyf;n;lyf sem framkallar svefn, gefið sjúklingum fyrir læknisaðgerð;53;0
38226;snúast;v;barnið er aðalverkefni hennar eða áhugamál;34761;1
44734;vatnsleysi;n;skortur á vatni;338;0
50818;mannsbani;n;verða morðingi, drepa mann;147;5
32715;rauður;adj;hefna sín rækilega á <honum>;5912;0
32715;rauður;adj;snjólaus jól;5912;0
32715;rauður;adj;skemmta sér með látum og gauragangi;5912;0
32715;rauður;adj;samband þeirra er höfuðþáttur í myndinni, einkenni á myndinni;5912;0
48124;æki;n;hlass á vagni eða sleða;787;0
25936;láta;v;láta ekki sýna sér yfirgang í orðum;373223;0
25936;láta;v;taka á móti af fullri hörku;373223;0
3728;auga;n;blekkja hann;29959;0
3728;auga;n;finnast hann álitlegur, lítast vel á hann;29959;0
25936;láta;v;hefja framkvæmd, byrja á e-u;373223;0
25936;láta;v;segja svo, geta þess;373223;0
25936;láta;v;vera kjarkmikill, hugaður;373223;0
25936;láta;v;eftir því sem tíminn líður;373223;0
3728;auga;n;þykja það alvarlegt;29959;0
3728;auga;n;fá viðurkenningu hans;29959;0
3728;auga;n;vekja aðdáun karlmanna;29959;0
3728;auga;n;gjóa augunum á hann;29959;0
3728;auga;n;líta hann ástaraugum;29959;0
45173;verk;n;þetta orsakar það, veldur því að fluginu seinkar;163999;0
3728;auga;n;gera honum eitthvað ljóst;29959;0
3728;auga;n;verða undrandi á svip;29959;0
3728;auga;n;líta illilega á hann;29959;0
3728;auga;n;fylgjast með honum;29959;0
3728;auga;n;lítast vel á hana ;29959;0
3728;auga;n;það er margt að sjá;29959;0
3728;auga;n;honum finnst þetta óyfirstíganlegt;29959;0
3728;auga;n;fylgjast vel með;29959;0
3728;auga;n;gera sér ekki grein fyrir afleiðingunum;29959;0
3728;auga;n;láta augun hvarfla í áttina að dyrunum;29959;0
3728;auga;n;vera glöggur á góðar bókmenntir;29959;0
58563;sjúkrahúsdvöl;n;það að dveljast á sjúkrahúsi, sjúkrahúsvist;207;2
10031;en;conj;samtenging, tengir saman hliðskipaðar setningar eða liði, felur oft í sér eitthvað gagnstætt væntingum, eða að eitthvað sé ólíkt með þem liðum sem eru tengdir;11929373;0
60241;en;conj;samanburðartenging, tengir saman tvo liði í samanburði, felur í sér einhvers konar ójöfnuð, oft er miðstig af lýsingarorði eða atviksorði í fyrri liðnum;11929373;0
35118;sérákvæði;n;lagaákvæði sem gildir aðeins um tiltekinn flokk tilvika;2449;4
10031;en;conj;sem inngangur að afsökun eða útskýringu;11929373;0
10031;en;conj;til að innleiða skýringu;11929373;0
5744;bjúgur;adj;boginn;287;0
20154;hlýðinn;adj;sem hlýðir, sem gerir það sem honum er sagt að gera;210;0
21370;hugstola;adj;í miklu tilfinningauppnámi, viti sínu fjær, ekki með sjálfum sér;49;0
31524;óskemmdur;adj;ekki skemmdur;431;0
8426;draga;v;lengra í <austur>átt;236645;0
13851;frumstig;n;fyrsta stig, byrjunarstig;70;0
46998;þinglegur;adj;sem er samkvæmt hefðum þingsins, sem sæmir þingi;48;0
39433;stjana;v;dekra við (e-n), þjóna (e-m);499;0
17139;gyrða;v;festa (á eða um e-n, sig) buxur eða pils;235;0
28899;mótfallinn;adj;á móti einhverju eða einhverjum, andsnúinn;3397;0
28928;mótþróafullur;adj;sem sýnir mótþróa;11;2
40440;svamla;v;busla í vatni, synda án ákveðinnar stefnu;487;0
40639;svifa;v;líða í loftinu, sveima;24;0
51027;höfuðbein;n;bein í höfuðkúpunni;20;0
18608;heima;adv;þetta er alveg rétt, þetta stemmir;197990;0
27367;lögfræðilegur;adj;sem varðar lögfræði, lagalegur;422;3
45173;verk;n;e-ð sem unnið er eða framkvæmt, viðfangsefni, iðja;163999;0
38143;snitta;v;gera skrúfgang í málmhlut;27;1
46277;væður;adj;sem er unnt að vaða;2;0
53114;viljaleysi;n;skortur á vilja, enginn áhugi á að gera sinna ákveðnu verkefni;606;0
26779;ljósavél;n;mótor sem knúinn er til að framleiða rafmagn;314;0
25364;köstur;n; samanborin hrúga af tilteknu efni, oftast viði;8;0
24941;kúpla;v;slíta e-r tengsl;460;0
26421;linna;v;hætta ekki, vera friðlaus;2297;0
26421;linna;v;taka enda, hætta;2297;0
41202;tangó;n;suðuramerískur paradans í tvískiptum takti með löngum líðandi sporum og snöggum rykkjum;1270;0
31404;órafjarlægð;n;mjög mikil fjarlægð;359;0
8809;dulur;adj;gjarn á að leyna skoðunum sínum;884;0
36810;skopstæling;n;það að háleitt efni er klætt í fyndinn eða háðskan búning;227;0
21051;hrollvekjandi;adj;sem vekur hrylling;1211;5
21870;hvíldarlaus;adj;án hvíldar;5;0
39352;stimpla;v;mæta til vinnu og setja spjald í stimpilklukku;3789;0
39352;stimpla;v;kalla (e-n e-ð), setja 'merkimiða' á (e-n);3789;0
39352;stimpla;v;setja spjald í stimpilklukku þegar hætt er vinnu;3789;0
39352;stimpla;v;setja stimpil á (e-ð);3789;0
14969;gá;v;gæta að umferðinni, sýna varkárni í umferðinni;3038;0
14969;gá;v;gæta sín, passa sig, sýna aðgæslu;3038;0
16482;greina;v;ákvarða eða skilgreina (e-ð);154020;0
16482;greina;v;skilja á milli tveggja eða fleiri atriða, aðgreina (e-ð);154020;0
16482;greina;v;segja frá (e-u);154020;0
16482;greina;v;þeir eru ósammála (í afstöðu sinni) um þetta;154020;0
16482;greina;v;sjá eða heyra (e-ð) skýrt;154020;0
25526;landlægur;adj;sem er fastur við ákveðið land eða landsvæði;454;0
31586;óstilltur;adj;órólegur, ókyrr;7;0
31586;óstilltur;adj;sem á eftir að stilla;7;0
21537;húðskamma;v;skamma (e-n) ákaft;70;0
15278;gerilsneyða;v;eyða gerlum, t.d. úr mjólk;78;0
43779;úldna;v;(um fisk eða kjöt) skemmdast af völdum rotnunar;114;0
31594;óstýrilæti;n;það að vera óstýrilátur;26;0
3233;andbýlingur;n;sá eða sú sem býr andspænis e-m í húsi eða við götu;2;0
34452;samrýmanlegur;adj;sem getur samrýmst öðru;66;4
26609;líftryggja;v;tryggja (e-n) gegn dauðsfalli;32;4
44548;vanþakka;v;vera vanþakklátur, sýna vanþakklæti (varðandi e-ð);176;3
48785;ráðast;v;það verður að koma í ljós, það verður að hafa sinn gang;55131;1
48785;ráðast;v;fara að henni með valdi, gera árás á hana;55131;1
48785;ráðast;v;hefja húsbygginguna, leggja í framkvæmdina;55131;1
48785;ráðast;v;gera árás á hann;55131;1
48785;ráðast;v;velja ekki auðveldustu leiðina;55131;1
48785;ráðast;v;fara eftir (e-u), vera háð (e-u);55131;1
48785;ráðast;v;gera áhlaup, árás;55131;1
34314;samgróinn;adj;sem er orðinn hluti af e-u;84;0
33698;rót;n;stafakjarni sem er grunneining orðs (án beygingarendinga);7699;0
33698;rót;n;stafakjarni sem er grunneining orðs (án beygingarendinga);7699;0
33698;rót;n;stafakjarni sem er grunneining orðs (án beygingarendinga);7699;0
33698;rót;n;stafakjarni sem er grunneining orðs (án beygingarendinga);7699;0
6914;brigsla;v;ásaka (e-n);267;0
53765;tekjulaus;adj;með engar tekjur eða laun;288;3
46099;vísbending;n;merki um hvernig e-u er háttað eða e-ð muni verða;7179;0
18312;hátækni;n;sem byggir á háþróaðri tækni;1876;2
25936;láta;v;veita honum upplýsingar;373223;0
45009;veita;v;láta (e-ð) af hendi (við e-n), láta (e-n) hafa (e-ð);196756;0
45009;veita;v;gefa (e-m) veitingar (einkum vín);196756;0
45009;veita;v;láta vatn renna yfir akur;196756;0
45009;veita;v;ganga (vel eða illa, í viðureign);196756;0
45009;veita;v;láta þetta eftir sér, kaupa sér þetta;196756;0
45009;veita;v;viðhafa, sýna viðnám eða mótspyrnu;196756;0
45009;veita;v;taka eftir þessu;196756;0
45009;veita;v;það er þörf á þessu, það er hægt að nota þetta;196756;0
45009;veita;v;ég þarf að fá hvíld, ég get notað hvíld;196756;0
41426;temja;v;venja (dýr) á að hlýða manninum;3487;0
41426;temja;v;venja sig á stundvísi;3487;0
8426;draga;v;anda;236645;0
8426;draga;v;taka til sín fé í leyfisleysi;236645;0
57878;hrína;v;hafa áhrif á hana;90;0
8426;draga;v;þegar lengra er farið;236645;0
8426;draga;v;ský fer fyrir sólina;236645;0
8426;draga;v;tefja verkið mikið;236645;0
34529;samúð;n;það að finna til með öðrum;35929;0
28920;mótsögn;n;rökfræðilegt ósamræmi;4115;0
8426;draga;v;toga gardínuna fyrir gluggann;236645;0
8426;draga;v;toga gardínuna frá glugganum;236645;0
8426;draga;v;jólin nálgast;236645;0
8426;draga;v;taka til sín athygli, vera áberandi;236645;0
8426;draga;v;margir ferðamenn fara til borgarinnar;236645;0
8426;draga;v;hlífa sér ekki;236645;0
8426;draga;v;hann missir kraft, mátt, orku;236645;0
8426;draga;v;hann er mjög þreyttur, máttlítill;236645;0
8426;draga;v;það er búið til út frá nafnorði;236645;0
8426;draga;v;minnka bilið milli mín og hans;236645;0
8426;draga;v;svara henni seint;236645;0
8426;draga;v;koma með, taka fram samlokur;236645;0
8426;draga;v;saltið skerpið bragð matarins;236645;0
41979;tjóa;v;það gagnar ekki, þýðir ekki að kvarta;18;0
46479;yfirgefinn;adj;vera einn, einmana;1001;5
42579;tvíhenda;v;taka um (e-ð) með báðum höndum;16;0
46479;yfirgefinn;adj;tómur, mannlaus;1001;5
17889;hartnær;adv;næstum því;4509;0
34277;sameina;v;gera eitt stórt úr tvennu (eða mörgu) minna;26798;0
8426;draga;v;rétt lifa, lifa með naumindum;236645;0
8426;draga;v;taka 2 frá 4, lækka 4 um 2;236645;0
8426;draga;v;skýin færast frá sólinni;236645;0
10663;fastandi;adj;sem fastar, sem neytir ekki matar;301;5
12544;forfæra;v;lokka (e-n) til kynlífs, fleka (e-n);55;0
26178;lengja;v;langa til að hún komi, sakna hennar;17545;0
10914;fella;v;láta (e-ð/e-n) falla;56131;0
10914;fella;v;drepa (e-n);56131;0
10914;fella;v;láta (e-n) falla í skóla;56131;0
10914;fella;v;láta (e-n/e-ð) falla í kosningu;56131;0
8426;draga;v;gera hana að þátttakanda í deilunni;236645;0
8426;draga;v;sjúga upp vökva;236645;0
8426;draga;v;(um rándýr) toga klærnar upp í slaka stöðu svo að þær sjást ekki lengur;236645;0
8426;draga;v;koma fyrir rafmagnsleiðslum í húsi;236645;0
8426;draga;v;taka hana með sér;236645;0
8426;draga;v;dempa ljósin, minnka styrk þeirra;236645;0
37245;skrælna;v;(um gróður) þorna og deyja;66;0
6680;brauðfæða;v;afla tekna fyrir mat;475;14
8426;draga;v;taka þau saman, gera yfirlit yfir helstu atriðin;236645;0
8426;draga;v;þau eru að byrja ástarsamband;236645;0
10914;fella;v;grópa þau saman;56131;0
10914;fella;v;taka þetta út;56131;0
10914;fella;v;hætta við (e-ð), aflýsa (e-u);56131;0
10914;fella;v;sætta sig ekki við þetta;56131;0
8426;draga;v;bilið milli þeirra minnkar;236645;0
8426;draga;v;bilið milli þeirra eykst;236645;0
8426;draga;v;það gerist eitthvað mikilvægt;236645;0
8426;draga;v;hætta við hana, afturkalla hana;236645;0
8426;draga;v;segja ófeimið frá öllu;236645;0
8426;draga;v;taka sér stórfé í leyfisleysi;236645;0
8426;draga;v;rissa upp kort af svæðinu;236645;0
8426;draga;v;taka upp, taka fram vindlingapakka;236645;0
8426;draga;v;taka lykil upp úr vasanum;236645;0
8426;draga;v;hætta að starfa innan fyrirtækisis;236645;0
8426;draga;v;snjókoman minnkar;236645;0
8426;draga;v;lyfið minnkar hann;236645;0
8426;draga;v;minnka kostnaðinn;236645;0
26445;listdans;n;listrænn, agaður dans, ballett;419;4
34064;rörtöng;n;stór töng, ætluð til að skrúfa saman og taka í sundur pípulagnir;65;2
4871;bardúsa;v;iðja við (e-ð), fást við (e-ð);532;0
32186;postilla;n;húslestrarbók;14;0
19364;hér;adv;hingað;2217785;0
22979;jafnvel;adv;hugsanlega;345300;0
9504;eindreginn;adj;stöðugur (um veðráttu, einkum vindátt);2972;0
53714;móðurmálskennsla;n;kennsla í móðurmáli nemandans, í skóla eða á námskeiði;94;0
53874;portrett;n;mynd af manni, andlitsmynd, portrettmynd;1062;4
24129;klesstur;adj;samþjappaður, án lofts og léttleika;52;6
46963;þiðna;v;fara úr frosnu ástandi í ófrosið;397;0
46963;þiðna;v;það verður frostlaust;397;0
24545;kóróna;v;taka öllu fram, setja endapunktinn á (e-ð);1198;0
39319;stika;n;lítill staur eða stöng, t.d. meðfram þjóðvegum;775;0
42205;trana;v;sýna framhleypni, ýta (e-u) fram;581;0
27355;lögbókandi;n;sérstakur opinber embættismaður (nú sýslumaður) sem staðfestir réttmæti og undirritun lögformlegs skjals (jafngildur tveimur vottum) eða að athöfn (t.d. dráttur í happdrætti) hafi farið rétt fram;193;2
54832;muna;v;framlag hennar skiptir máli, gerir mismun;79547;0
54832;muna;v;þetta er engin aukafyrirhöfn fyrir mig;79547;0
54832;muna;v;minna en þetta skiptir máli, gerir mismun;79547;0
54832;muna;v;... svo að það skiptir verulegu máli, verðið hefur lækkað mikið;79547;0
48785;ráðast;v;hafa ákveðna framvindu, málalok, lykta, verða ljóst;55131;1
15038;geðlægð;n;ástand sem einkennist af dáðleysi og döprum hugsunum;114;1
29348;natúralismi;n;stefna í listum sem byggist á trúnaði við raunveruleikann;21;0
15690;glamur;n;skrölt, skark, t.d. í leirtaui;164;0
37236;skræða;n;"gömul, slitin bók; bók";8;0
65210;þyrluflugmaður;n;flugmaður sem hefur réttindi til að fljúga þyrlu;293;3
41041;sögusögn;n;saga sem gengur milli manna, orðrómur;146;0
25936;láta;v;hætta þessu;373223;0
25936;láta;v;loka hurðinni/augunum;373223;0
25936;láta;v;deyja (af slysi eða af völdum árásar);373223;0
25936;láta;v;setja (e-ð) á e-n stað;373223;0
25936;láta;v;neita sér ekki um neitt;373223;0
25936;láta;v;gefa eftir, brotna, svigna;373223;0
25936;láta;v;deyja og skilja eftir miklar eignir;373223;0
25936;láta;v;bera vinnunni vel söguna, tala ánægjulega um vinnuna;373223;0
25936;láta;v;gera allt sem barnið fer fram á;373223;0
25936;láta;v;vera ekki áberandi, vera hógvær;373223;0
25936;láta;v;það er nálægt því;373223;0
25936;láta;v;gera eins og hún segir, gefast upp fyrir henni;373223;0
25936;láta;v;segja sem minnst;373223;0
25936;láta;v;segja þetta (af gáleysi);373223;0
25936;láta;v;í afturbeygðum samböndum:;373223;0
25936;láta;v;missa ekki kjarkinn;373223;0
25936;láta;v;henta, hæfa;373223;0
25936;láta;v;hegða sér (einhvern veginn);373223;0
25936;láta;v;háttarsögn, merkir orsök, orsakavald;373223;0
