"flid","ord","ordflokkur","texti"
58909,"flöskustútur","n m","stútur á flösku"
58900,"stúdentafélag","n n","félag sem vinnur að hagmunamálum stúdenta"
58874,"grasstrá","n n","einstakur stöngull af grasi"
58894,"stundarerfiðleikar","n mpl","skammvinnir erfiðleikar"
58914,"styrkveiting","n f","það að veita fjárhagslegan stuðning"
58913,"kjarnorkustyrjöld","n f","styrjöld þar sem kjarnorkuvopnum er beitt"
58917,"tölvustýrður","adj","sem stjórnað er af tölvu"
58908,"stjórnmálastúss","n n","það að vasast í stjórnmálum"
58921,"læknastöð","n f","staður þar sem læknastofur eru til húsa"
58903,"fermingarstúlka","n f","stúlka sem fermist"
58945,"sveiflukenndur","adj","sem sveiflast mikið, mjög breytilegur"
58937,"súlnaröð","n f","röð af súlum"
58934,"sundurliðaður","adj","sem búið er að greina í sundur"
58944,"svefnþörf","n f","þörf fyrir að sofa"
58970,"vinnusvæði","n n","svæði þar sem vinna fer fram, einkum verklegar framkvæmdir"
58947,"laufsveigur","n m","krans bundinn úr laufi"
58946,"aftursveigður","adj","sem sveigist aftur á bak"
58927,"rigningarsuddi","n m","þétt fíngerð rigning"
58928,"þokusuddi","n m","þoka með dálítilli rigningu"
58926,"suddaveður","n n","suddi"
58941,"svarbréf","n n","bréf sem er svar við öðru bréfi"
58924,"skíðastökkvari","n m","sá eða sú sem stundar skíðastökk"
58935,"sunnanátt","n f","vindur sem kemur úr suðri"
58957,"tíðnisvið","n n","svið sem ákveðin tíðni spannar"
58961,"ánægjusvipur","n m","svipur á andliti sem lýsir ánægju"
58955,"sverðsblað","n n","blað á sverði"
58948,"sigursveigur","n m","lauf- eða blómsveigur sem er tákn um sigur"
58965,"þjáningasvipur","n m","svipur sem lýsir þjáningu"
58968,"skíðasvæði","n n","svæði þar sem skíðaíþróttir eru stundaðar"
58962,"spurnarsvipur","n m","andlitssvipur sem gefur til kynna að viðkomandi leitar svars"
58959,"svipuskaft","n n","skaft á svipu"
58960,"svipusmellur","n m","smellur frá svipuhöggi"
58918,"afgangsstærð","n f","e-ð sem mætir afgangi"
58963,"undrunarsvipur","n m","svipur sem lýsir undrun"
59000,"sælgætisát","n n","það að borða mikið af sælgæti"
58980,"synjunarvald","n n","neitunarvald"
58983,"tvíburasystir","n f","systir e-s sem er annar tvíbura"
58973,"svækjuhiti","n m","óþægilega mikill hiti og raki í lofti"
59005,"særingaformúla","n f","romsa sem notuð er við galdraiðkun, særingaþula"
58988,"framtíðarsýn","n f","hugmyndir um hvernig framtíðin muni verða"
58982,"lagasyrpa","n f","lög sem spiluð eru hvert á eftir öðru, oft með sama þema"
58984,"tvíburabróðir","n m","bróðir e-s sem er annar tvíbura"
58985,"systkinahópur","n m","hópur bræðra og systra"
58995,"kvikmyndasýning","n f","það að sýna kvikmynd"
58974,"svækjuloft","n n","heitt og þungt loft"
58987,"sýkingarhætta","n f","hætta á að fá sýkingu"
58978,"stórsyndugur","adj","mjög syndugur"
58994,"yfirlitssýning","n f","listsýning sem spannar allan feril listamanns"
58990,"leiftursýn","n f","það að sjá eitthvað fyrir sér örstutta stund"
58976,"hrásykur","n m","óhreinsaður brúnleitur sykur"
58998,"kynsæld","n f","frjósemi"
58997,"himinsæla","n f","mikil hamingja"
59009,"sætisbelti","n n","öryggisbelti í sæti, sætisól"
59011,"undirskriftasöfnun","n f","það að safna undirskriftum til stuðnings e-m málstað"
59013,"söfnunarárátta","n f","mikill (jafnvel sjúklegur) áhugi á að safna ákveðnum hlutum"
5081,"báruskel","n f","tegund skeldýrs"
58972,"þungsvæfur","adj","sem sefur fast"
59019,"sundkennsla","n f","það að kenna sund"
58981,"teiknimyndasyrpa","n f","samhangandi röð teiknimynda sem birtist reglulega t.d. í dagblaði"
58969,"bardagasvæði","n n","svæði þar sem bardagar eiga sér stað"
59001,"sælustund","n f","tími eða augnablik sem einkennist af mikilli ánægju"
59008,"sætisbak","n n","bak á sæti"
58922,"bernskustöðvar","n fpl","sá staður sem maður hefur alist upp á og dvalist í æsku, æskustöðvar"
58724,"bókmenntasmekkur","n m","áhugasvið innan bókmennta"
58759,"bollaspá","n f","spádómur sem lesinn er úr kaffibolla sem búið er drekka úr og þurrka"
58889,"blýantsstubbur","n m","blýantur sem búið er að ydda mikið og er orðinn stuttur"
58989,"heildarsýn","n f","heildarmynd"
3777,"augsýn","n f","það að e-ð sést"
59012,"fatasöfnun","n f","söfnun á fatnaði handa þurfandi"
58812,"andarsteggur","n m","karlkyns önd"
28549,"minnispunktur","n m","atriði sem maður skráir hjá sér til minnis"
26217,"lesmál","n n","skrifaður texti"
33413,"ritröð","n f","bækur sem eru gefnar út undir einu yfirheiti"
58907,"barnastúss","n n","það að eiga og annast um börn"
58717,"slúðursaga","n f","saga sem byggir á sögusögnum og slúðri"
58746,"hjartasorg","n f","ástarsorg"
58788,"kennarastaða","n f","fast starf sem kennari"
58769,"mótmælaspjald","n n","spjald með áletrun sem haldið er á lofti við mótmæli"
58953,"sveppasósa","n f","heit sósa þar sem aðaluppistaðan eru sveppir"
58830,"póststimpill","n m","stimpill á sendingu sem settur er um leið og burðargjald er greitt á pósthúsi"
58902,"afgreiðslustúlka","n f","stúlka sem vinnur við afgreiðslu"
58793,"þvottastandur","n m","standur eða lítið borð undir þvottaskál og vatnskönnu, haft í svefnherbergi"
12476,"fold","n f","jörð, land"
58966,"svínabóndi","n m","bóndi sem rekur svínabú"
34698,"saur","n m","úrgangsefni fæðu sem líkaminn skilar, hægðir"
58854,"girðingarstólpi","n m","sver girðingarstaur"
58954,"matsveppur","n m","sveppur sem má borða"
59017,"óperusöngkona","n f","söngkona sem tekur þátt í óperusýningum og er menntuð til þess"
58837,"hægristjórn","n f","stjórn mynduð af hægriflokkum"
58726,"tónlistarsmekkur","n m","áhugasvið innan tónlistar"
12547,"forganga","n f","frumkvæði, forysta"
58911,"kjötstykki","n n","biti af kjöti"
58637,"drottningarskrúði","n m","hátíðarklæðnaður drottningar"
58794,"móbergsstapi","n m","ávalt fell úr móbergi (hefur myndast við dyngjugos undir vatni)"
58592,"kristalsskál","n f","skál úr kristal"
58644,"langtímaskuld","n f","skuld sem er til langs tíma"
58659,"gæsaskyttirí","n n","veiðiferð þar sem tilgangurinn er að skjóta gæsir"
61236,"borðbrún","n f","ysti hluti borðs, borðrönd"
57143,"sigurlíkur","n fpl","líkindi á sigri t.d. í kappleik eða kosningum"
58572,"hnífskaft","n n","skaft á hnífi"
58609,"inntökuskilyrði","n npl","skilyrði sem þarf að uppfylla til að eiga möguleika á inntöku, t.d. í skóla"
58728,"sérsmíðaður","adj","smíðaður sérstaklega samkvæmt óskum e-s"
58766,"spilafíkn","n f","sjúkleg árátta í að stunda fjárhættuspil"
58493,"sardínudós","n f","dós með niðursoðnum sardínum"
58503,"sárasmyrsl","n n","smyrsl til að bera á sár"
58539,"síbrosandi","adj","sem brosir mjög oft"
58449,"salernispappír","n m","pappír (oftast í rúllum) notaður til að skeina sig með, klósettpappír"
61237,"ælupest","n f","væg veikindi með uppköstum, gubbupest"
58893,"örlagastund","n f","augnablik sem hefur mikla þýðingu fyrir örlög e-s"
58540,"síðasttalinn","adj","sem var nefndur síðast"
58730,"gæfusnauður","adj","ógæfusamur, gæfulaus"
59021,"koníaksglas","n n","koníaksstaup"
58578,"vikuskammtur","n m","skammtur sem miðaður er við vikutíma"
58437,"vaxmyndasafn","n n","safn þar sem vaxmyndir eru til sýnis"
58631,"skrifstofutími","n m","sá tími þegar skrifstofur eru opnar, vanalega kl. 9-5"
58544,"síldveiðiskip","n n","skip sem er hannað fyrir síldveiðar"
58473,"alþjóðasamstarf","n n","samstarf sem snertir eða nær til flestra eða allra þjóða heims"
58573,"skallablettur","n m","hárlaus blettur á höfði"
58507,"alþjóðasáttmáli","n m","sáttmáli sem snertir eða nær til flestra eða allra þjóða heims "
58496,"sturtusápa","n f","fljótandi sápa til þess að nota í sturtu"
58621,"unglingaskóli","n m","skóli fyrir 13-15 ára unglinga"
58472,"samskotafé","n n","fé sem safnast saman þegar efnt hefur verið til samskota"
58664,"strætisvagnaskýli","n n","skýli fyrir þá sem bíða eftir strætisvagni"
58497,"sápuvatn","n n","vatn sem sápa hefur verið sett í, þvottavatn"
58588,"skákeinvígi","n n","skákkeppni tveggja manna, t.d. um e-n skákmeistaratitil"
58629,"skrifpúlt","n n","púlt (með hallandi borði) til að skrifa við (einkum ætlað til að standa við)"
58734,"ostsneið","n f","sneið af osti"
25908,"lánlaus","adj","sem hefur hlotið litla gæfu, ógæfusamur"
58545,"sítrónubörkur","n m","börkur af sítrónu"
54816,"fjórfalt","adv","fjórum sinnum"
54817,"fimmfalt","adv","fimm sinnum"
54819,"sjöfalt","adv","sjö sinnum"
54818,"sexfalt","adv","sex sinnum"
54821,"nífalt","adv","níu sinnum"
54820,"áttfalt","adv","átta sinnum"
58825,"virðingarstigi","n m","röð sem ákvarðast af hárri þjóðfélagsstöðu"
53813,"tískudrós","n f","stúlka sem eltir tískuna"
6612,"bragða","v","borða svolítið (af e-u)"
54822,"tífalt","adv","tíu sinnum"
37859,"smakka","v","borða svolítið (af e-u), bragða"
54823,"hundraðfalt","adv","100 sinnum"
24612,"krá","n f","veitingastaður þar sem einkum eru seldir áfengir drykkir, bjórkrá, knæpa"
61239,"innanhússhönnun","n f","listin að skipuleggja rými innanhúss, m.a. innréttingar, gólfefni og liti á veggjum"
61240,"innanhússhönnuður","n m","sá eða sú sem hefur lært (eða fæst við) innanhússhönnun"
61241,"galdrabók","n f","bók með forskriftum að göldrum"
58897,"samstúdent","n m","sá eða sú sem tekur stúdentspróf á sama tíma og annar"
37860,"smakkast","v","hafa visst bragð"
61238,"ýruefni","n n","efni sem notað er til að blanda saman vatni og feiti, t.d. í matvörum og snyrtivörum"
4646,"bakast","v","vera bakaður"
56517,"karlmennskutákn","n n","ímynd karlmennsku"
6614,"bragðast","v","vera á bragðið"
42073,"torga","v","borða (e-ð) upp, ljúka við að borða (e-ð)"
29344,"nasla","v","borða dálítið, fá sér nasl"
40764,"svolgra","v","drekka (e-ð) hratt og ákaft"
58600,"skemmdarverkastarfsemi","n f","það að skemma e-ð af ásettu ráði"
59015,"handsög","n f","sög sem er knúin með handafli"
58765,"spilaskuld","n f","skuld sem maður stofnar til vegna fjárhættuspils"
58828,"hraðastilling","n f","stilling þar sem hraði tækis er stilltur (t.d. á hrærivél)"
58952,"skautasvell","n n","frosinn völlur þar sem hægt er að stunda skautaíþróttir"
8902,"dverghagur","adj","sem er listasmiður, mjög laginn í höndunum"
58942,"svartmunkur","n m","munkur í katólskri betlimunkareglu"
58958,"plöntusvif","n n","örsmáar lífverur/plöntur sem fljóta í sjó og vatni, mynda undirstöðu fæðukeðjunnar í hafinu"
4204,"áll","n m","langur og mjór fiskur af breytilegum tegundum"
10306,"eta","v","borða, éta"
10392,"étast","v","vera étinn, borðaður"
61243,"greip","n n","stór sítrusávöxtur, greipaldin"
50419,"smjörbaun","n f","matjurt, stór hvít og flöt baun"
28093,"meðvitund","n f","það að vita af sér, sýna viðbrögð við áreiti"
10129,"endurnærandi","adj","sem hressir, veitir endurnæringu"
38875,"spýta","v","hrækja, skyrpa"
10128,"endurnæra","v","hressa (e-n), gera (e-n) hressari, óþreyttari"
54144,"nærandi","adj","sem nærir, veitir næringu"
58698,"kosningaslagur","n m","barátta milli flokka eða frambjóðenda í kosningum"
59024,"gleypast","v","vera gleyptur"
30305,"næra","v","gefa (e-m) næringu"
59026,"hægriflokkur","n m","stjórnmálaflokkur sem er hægra megin við miðju"
61244,"vanillustöng","n f","kryddtegund, langur og mjór fræbelgur hitabeltisplöntu, vanilla"
30307,"nærast","v","taka til sín næringu"
59027,"miðjuflokkur","n m","stjórnmálaflokkur með stefnuskrá milli róttækra flokka og íhaldsflokka, miðflokkur"
49615,"óperusöngvari","n m","söngvari sem tekur þátt í óperusýningum og er menntaður ti þess"
58756,"orkusóun","n f","það að eyða orku án tillits til neins"
60299,"kókóbaun","n f","stórt fræ af hitabeltistré sem kakó er búið til úr, kakóbaun"
58956,"rafsegulsvið","n n","samheiti yfir hugtökin rafsvið og segulsvið, svið sem allar rafhlaðnar agnir mynda"
12685,"fornleifauppgröftur","n m","það að grafa til að leita að fornleifum"
12092,"flísalagning","n f","það að leggja flísar"
33169,"reykköfun","n f","það að kafa reyk"
50615,"hrafnafífa","n f","íslensk plöntutegund af hálfgrasaætt; með breiðum, hvítum hárskúfum á stöngulendum; vex í votlendi"
58975,"gervisykur","n m","tilbúið efni notað í stað sykurs, sætuefni"
43880,"útbeit","n f","vetrarbeit sauðfjár"
28892,"mótauppsláttur","n m","það að slá upp steypumótum í byggingarvinnu"
16407,"grána","v","verða grár eða grárri"
41922,"tínsla","n f","það að tína, t.d. ber"
58860,"stórleikari","n m","mjög góður leikari sem oft fer með aðalhlutverk"
51296,"grængolandi","adj","áhersluorð um djúpt vatn"
59033,"stórsöngvari","n m","mjög góður söngvari sem oft fer með aðalhlutverk"
39032,"standsetning","n f","það að lagfæra e-ð, koma e-u í betra ástand"
22629,"innkaup","n npl","kaup á matvöru og hreinlætisvöru"
21661,"húsverk","n npl","heimilisstörf, s.s. þrif og eldamennska"
33554,"roðfletting","n f","það að fletta roði af fiski"
28696,"mjaltir","n fpl","það að mjólka"
41247,"tannviðgerð","n f","viðgerð á tönnum"
9045,"dæling","n f","það að dæla"
30457,"ofbeit","n f","of mikið grasbit skepna"
29314,"naglhreinsun","n f","það að hreinsa nagla úr timbri"
41726,"tiltekt","n f","það að taka til"
60269,"viðgerðarmaður","n m","sá eða sú sem gerir við bilaða hluti"
11980,"fláning","n f","það að flá"
8089,"denging","n f","það að þynna ljá í eggina, brýnsla"
23133,"járning","n f","það að járna hest"
4232,"ámokstur","n m","það að moka lausu efni, t.d. möl, ofan á vörubíl"
11965,"flausturslega","adv","á flausturslegan hátt, hroðvirknislega"
58743,"snjóflóðavörn","n f","mannvirki sem reist er til koma í veg fyrir að snjóflóð myndist eða falli á mannvirki"
29677,"negling","n f","það að negla"
59034,"grínþáttur","n m","þáttur í sjónvarpi eða útvarpi með gamansömu efni eða fyndni"
43856,"úrvinnsla","n f","það að vinna úr e-u"
44123,"útplöntun","n f","það að gróðursetja"
26754,"ljókka","v","verða ljótari"
13393,"frágangur","n m","lokastig á verki eða verkefni, fínvinna í lokin"
48994,"aflestur","n m","það að lesa af mælitækjum"
61245,"belgpipar","n m","sterkur rauður pipar í mjóum belgjum, sílípipar, chilipipar"
23632,"kári","n m","vindur"
10027,"embættisverk","n n","verk sem embættismaður vinnur"
9873,"eldfæri","n npl","tæki til að kveikja eld, t.d. eldspýtur eða kveikjari"
13273,"framræsla","n f","það að ræsa fram, þurrkun lands"
61247,"magaskellur","n m","lending á maganum þegar maður stingur sér í vatn"
50598,"gullbrá","n f","íslensk plöntutegund af steinbrjótsætt; smágerð með gulum blómum á uppréttum stönglum; vex í rökum jarðvegi"
59035,"rafmagnsgítar","n m","gítar sem knúinn er rafmagni"
17626,"handarvik","n n","smávinna"
37363,"skúring","n f","þrif á gólfum"
49066,"píanó","n n","ásláttarhljóðfæri þar sem nótnaborðið er í sambandi við hamra sem slá á strengi"
38765,"sporöskjulagaður","adj","í laginu eins og sporaskja, þ.e. aflangur eða teygður hringur"
33875,"rússagrýla","n f","persónugerð ógn sem stafar af Rússum (einkum á Sovéttímanum)"
61242,"frjókornaofnæmi","n n","ofnæmi fyrir frjókorni plantna"
13858,"frumtexti","n m","upprunalegur texti"
38764,"sporöskjulaga","adj","sporöskjulagaður"
26211,"lesefni","n n","efni til að lesa, lestrarefni"
41707,"tilskrif","n n","skrifleg orðsending, bréf"
30682,"orðalykill","n m","orðstöðulykill"
14267,"fylgirit","n n","ritverk sem fylgir með öðru prentuðu máli"
10426,"fagrit","n n","bók eða tímarit sem fjallar um ákveðið fag"
4415,"áskrift","n f","það að vera áskrifandi"
25299,"kæla","v","gera (e-ð) kaldara"
9075,"dökkna","v","verða dökkur eða dekkri"
4356,"ársrit","n n","rit sem félag eða stofnun gefur út árlega"
30421,"oddhvass","adj","með beittan odd"
32508,"rafmagnslína","n f","lína sem flytur rafmagn frá rafstöð til notanda, raflína"
24122,"klepraður","adj","allur í kleprum, óhreinindaklessum"
21912,"hvítna","v","verða hvítur eða hvítari, fölari"
54080,"hruninn","adj","búinn að hrynja"
24861,"kulna","v","verða kaldur, dofna"
59036,"kulnaður","adj","orðinn kaldur, dofnaður"
61249,"doktorsnám","n n","háskólanám sem lýkur með doktorsgráðu"
24124,"klepróttur","adj","allur í kleprum, klessum, klepraður"
45886,"virðingarfyllst","adv","kveðja í lok formlegs bréfs, með virðingu"
26875,"loftárás","n f","árás með sprengjuflugvélum"
37504,"skýstrokkur","n m","trektlaga ský sem myndast við mjög sterkan hvirfilvind í neðstu loftlögum, skýstrókur"
38441,"sólbrenna","v","verða rauður á húð af völdum sólarljóss"
61250,"hrísgrjónaakur","n m","akur þar sem ræktuð eru hrísgrjón"
61252,"hveitiakur","n m","akur þar sem ræktað er hveiti"
61251,"hugsjónakona","n f","kona sem hefur sterkar hugsjónir (og berst stundum fyrir þeim)"
59007,"særingamaður","n m","maður sem fremur særingar eða galdra"
61253,"kornakur","n m","akur þar sem ræktað er korn"
59006,"særingaþula","n f","romsa sem notuð er við galdraiðkun"
61257,"reynslulausn","n f","lausn til reynslu úr fangelsi áður en afplánun lýkur formlega með því skilyrði að fanginn brjóti ekki af sér aftur"
61254,"lagakrókar","n mpl","smáatriði í lögunum (notuð sér í hagsmunaskyni)"
61258,"samtakamáttur","n m","máttur sem fólginn er í sameiginlegri baráttu eða átaki"
61256,"meistaranemi","n m","háskólanemi sem býr sig undir meistarapróf, t.d. MA- eða MS-nemi"
59037,"drengjaskóli","n m","skóli þar sem nemendurnir eru eingöngu drengir"
61223,"stjórnmálaskýrandi","n m","maður sem túlkar stjórnmál og stjórnmálaástand, t.d. í fjölmiðlum"
61262,"stórvel","adv","til áherslu: mjög vel"
61263,"tekjuhlið","n f","tekjur sem taldar eru saman (andstætt útgjaldahlið)"
61265,"ótextaður","adj","ekki með rituðum texta lögðum yfir myndefnið (sjónvarpsþátt, kvikmynd o.s.frv.)"
61266,"vaxkaka","n f","vax í býflugnabúi með reglulegum, sextrendum hólfum"
61267,"vikmörk","n npl","öryggismörk, skekkjumörk"
61261,"stólbrík","n f","fremsti hluti stólsetu"
61264,"textaður","adj","með rituðum texta með myndefni (sjónvarpsþætti eða kvikmynd)"
58834,"stíleinkenni","n n","ákveðnir þættir sem einkenna stíl þess sem skapar e-ð, t.d. ritfhöfundar, arkiteksts eða málara"
61268,"víðerni","n n","stórt og opið óbyggt landsvæði"
11515,"fjandsamlegur","adj","ekki vinsamlegur, óvinveittur"
43378,"upphaflegur","adj","sem er í upphafi, upprunalegur"
43774,"úfna","v","verða úfinn"
27241,"lýsast","v","verða ljósari"
54401,"mauka","v","gera mauk úr (e-u)"
17698,"handritalýsing","n f","myndskreyting í fornu handriti"
5769,"blaðakóngur","n m","umsvifamikill blaðaútgefandi"
13532,"fréttasending","n f","það að útvarpa frétt"
10982,"ferðaútvarp","n n","lítið, færanlegt útvarpstæki"
44257,"útvarpsþáttur","n m","þáttur í dagskrá útvarps"
40631,"sviðna","v","verða sviðinn"
58667,"lokaskýrsla","n f","greinargerð þar sem fram koma niðurstöður"
26064,"leikfimiskennsla","n f","kennsla í leikfimi"
19951,"hljóðbók","n f","bók sem búið er að lesa inn á disk/snældu/hljóðskrá, t.d. fyrir blinda/lesblinda"
44251,"útvarpssaga","n f","framhaldssaga lesin í útvarpi"
59040,"stúdentauppreisn","n n","uppreisn stúdenta gegn háskólayfirvöldum eða stjórnvöldum"
26346,"liðkast","v","verða liðugri, liprari"
44245,"útvarpsfréttir","n fpl","fréttir sem lesnar eru í útvarpi"
52423,"varaþunnur","adj","sem hefur þunnar varir"
18515,"heildarútgáfa","n f","útgáfa á öllum verkum höfundar"
58898,"stúdentaóeirðir","n fpl","óeirðir milli stúdenta og lögreglu, tengd mótmælum"
23136,"járnnáma","n f","náma þar sem járn er unnið"
16679,"grjótnáma","n f","staður þar sem grjót er sótt"
42207,"transistor","n m","hálfleiðari í rafrásum sjónvarps, útvarps og tölva, magnar upp bylgjur eða merki, smári"
17038,"gullnáma","n f","náma þar sem gull er unnið"
18278,"hátíðarútgáfa","n f","íburðarmikil útgáfa að hátíðlegu tilefni"
52280,"varaþykkur","adj","sem hefur þykkar varir"
13874,"frumútgáfa","n f","fyrsta útgáfa"
3268,"andlitsmynd","n f","mynd (teikning eða málverk) af mannsandliti"
11306,"fiskinet","n n","sérstakt veiðitæki, möskva-riðið úr þráðum, til að veiða fisk"
13969,"fræðsluþáttur","n m","þáttur í sjónvarpi (eða útvarpi) sem ætlað er að fræða áhorfandann"
4566,"ávísanaeyðublað","n n","sérprentað blað (úr ávísanahefti) sem eigandi bankareiknings fyllir út og undirritar og er upphæðin síðan dregin frá innstæðu hans við framvísun í banka"
39930,"strætómiði","n m","farmiði í strætisvagn"
21436,"hundahreinsun","n f","hreinsun hunda af sníkjudýrum"
28816,"morgungjöf","n f","gjöf sem eiginmaður gefur konu sinni morguninn eftir brúðkaupsnóttina"
36962,"skólaskyldur","adj","sem samkvæmt lögum á að ganga í skóla"
40963,"sængurgjöf","n f","gjöf til móður og barns eftir fæðingu"
58721,"smátími","n m","dálítill tími, talsverður tími"
39334,"stillast","v","verða rólegur, kyrr"
47966,"þynnast","v","verða þynnri"
10610,"farmiði","n m","miði sem er kvittun fyrir greiddu fargjaldi"
61270,"ferðamál","n n","ílát til að drekka úr, venjulega án hanka og með loki, t.d. úr pappa eða plasti, drykkjarmál"
10344,"eyðublað","n n","prentað blað með eyðum til að skrá ákveðnar upplýsingar"
33006,"reikningseyðublað","n n","prentað blað með eyðum til að skrá kröfu um borgun"
59594,"óvéfengjanlegur","adj","sem ekki verður deginn í efa"
45552,"viðmiðun","n f","e-ð sem miðað er við"
58774,"segulbandsspóla","n f","spóla með segulbandi sem efni er tekið upp á og spilað af"
26304,"léttast","v","verða léttari, vega minna"
45551,"viðmið","n n","eitthvað sem miðað er við"
40701,"svipuhögg","n n","það að slá með svipu"
4461,"ástríðufullur","adj","ákafur í löngunum sínum og áhuga"
16795,"grugga","v","gera (vatn) gruggugt"
17649,"handfæri","n n","veiðarfæri sem er lína með sökku og öngli eða önglum á hand- eða vélknúinni rúllu"
15445,"ginnungagap","n n","tómið sem var áður en jörðin varð til"
15610,"gjöf","n f","það sem gefið er"
11574,"fjarvistarsönnun","n f","sönnun þess að e-r hafi ekki getað verið á vettvangi afbrots eða glæps"
5688,"bjargfastur","adj","sem ekki verður hnikað, óhagganlegur"
53104,"ósveigjanleiki","n m","það að vera ósveigjanlegur"
16796,"gruggast","v","verða gruggugur (um vatn, vín)"
19572,"híbýli","n npl","hús, heimili"
14890,"garðyrkjufræði","n f","sú fræðigrein sem lýtur að ræktun plantna í atvinnuskyni"
5446,"biblíusögur","n fpl","kennslusbók með frásögnum úr Biblíunni"
59041,"heybaggi","n m","bundið hey af tiltekinni þyngd eða rúmmáli"
15441,"ginnheilagur","adj","mjög heilagur"
44975,"veikindavottorð","n n","vottorð frá lækni um að viðkomandi sé veikur"
17061,"gullæð","n f","lag í bergi þar sem er að finna gull"
26925,"loftvarnir","n fpl","varnir gegn loftárásum"
27399,"lögmál","n n","ófrávíkjanleg regla miðað við ákveðnar aðstæður"
27543,"mannabústaður","n m","staður þar sem fólk býr (eða getur búið)"
32452,"pöpull","n m","skríll, almenningur"
46267,"vottfastur","adj","staðfestur skriflega og undirritaður af votti (vottum)"
39158,"stefnufastur","adj","sem hvikar ekki frá stefnu sinni, fyrirætlunum eða hugsjón"
26822,"ljósvakamiðill","n m","fjölmiðill sem sendur er út, útvarp eða sjónvarp"
45671,"viljafesta","n f","það að vera viljafastur, sterkur vilji, staðfesta"
25508,"landgönguliði","n m","hermaður sem er í landgönguliði"
58950,"sveitarómagi","n m","fátæklingur sem er á framfæri sveitarfélagsins, hreppsómagi"
27591,"mannfólk","n n","manneskjur, mannkyn"
38922,"staðfastur","adj","sem sýnir festu, sem hvikar ekki frá settri stefnu"
24354,"kolanáma","n f","náma þar sem kol eru unnin"
59042,"götun","n f","það að gera göt, t.d. á líkamann"
40336,"sunnanmaður","n m","maður af Suðurlandi, Sunnlendingur"
29972,"norðanmaður","n m","maður að norðan, Norðlendingur"
40346,"Sunnlendingur","n m","maður á eða frá Suðurlandi"
45365,"Vesturlandabúi","n m","maður frá Vesturlöndum"
11814,"fjölmiðill","n m","miðill sem nær til stórs hluta lands eða íbúa svæðis, einkum dagblað, útvarp og sjónvarp"
58763,"talnaspekingur","n m","sá eða sú sem leggur stund á talnaspeki"
18714,"heimilishald","n n","umsjón með heimili, hússtjórn"
25514,"landher","n m","her sem berst á landi"
7630,"bæjarbúi","n m","sá eða sú sem býr í bæ"
21578,"húsakynni","n npl","húsnæði, húsakostur"
12859,"forþvottur","n m","þvottakerfi á þvottavél þar sem þvotturinn er þveginn á undan venjulegu þvottaprógrammi"
35070,"setulið","n n","herlið í fastri bækistöð"
50785,"prentmiðill","n m","prentaður fjölmiðill"
39868,"stríðsástand","n n","ófriður eins og í stríði"
43747,"utanskóla","adj/adv","án þátttöku í kennslustundum"
16049,"gneista","v","skjóta gneistum, neista"
20851,"hreppsómagi","n m","fátæklingur sem er á framfæri sveitarfélagsins, sveitarómagi"
35738,"sjóliði","n m","hermaður í sjóher"
7615,"býtibúr","n n","herbergi (á sjúkrahúsum og hótelum) þar sem mat er útdeilt"
35724,"sjóher","n m","herlið, þjálfað og útbúið til að berjast á sjó"
21577,"húsakostur","n m","húsnæði, húsakynni"
10351,"eyjarskeggi","n m","sá eða sú sem býr á eyju"
12949,"fósturheimili","n n","heimili þar sem einhverjum er komið í fóstur"
22350,"iðnfræði","n f","hagnýtt framhaldsnám í háskóla fyrir fólk með iðnmenntun"
10482,"fallhlífarhermaður","n m","hermaður sem stekkur úr fallhlíf með allan útbúnað"
66483,"heimabakstur","n m",""
4386,"ásannast","v","verða að veruleika, rætast"
52190,"löghelgur","adj","helgur (dagur) samkvæmt lögum"
29693,"neista","v","mynda neista, eldglæringar"
34631,"sannprófa","v","láta reyna á hvort e-ð stenst"
56326,"innskotssetning","n f","setning, t.d. tilvísunarsetning, sem er inni í ytri setningu (""húsið, sem ég bý í, er blátt"")"
53926,"tolla","v","haldast kyrr (á e-m stað)"
16362,"grassera","v","vera gróskumikill, geisa"
42018,"tolla","v","leggja toll (á varning)"
46473,"yfirfærður","adj","ekki bókstaflegur"
24712,"krossleggja","v","leggja handleggi eða fótleggi hvorn yfir annan"
58979,"syndumspilltur","adj","mjög syndugur"
39915,"stropaður","adj","byrja að klekjast"
58829,"tímastillir","n m","stillanlegur útbúnaður á tæki sem gefur merki þegar tíminn er útrunninn"
56409,"járnoxíð","n n","efnasamband járns og súrefnis"
59043,"konseptlist","n f","hugmyndalist"
15307,"gersveppur","n m","einfruma sveppur sem veldur gerjun"
31204,"ókleifur","adj","sem ekki er hægt að klífa"
56430,"vetnisjón","n f","hlaðin vetnisfrumeind, H+"
18697,"heimildaþáttur","n m","dagskrárliður í ljósvakamiðli þar sem miðlað er staðreyndum og viðtöl tekin við heimildarmenn"
25616,"langdreginn","adj","sem varir lengi, sem er leiðinlega lengi"
48277,"ævaforn","adj","mjög forn"
2433,"viðvörunarmerki","n n","umferðarmerki (gulur þríhyrningur með rauðum ramma) sem ætlað er að vekja athygli vegfarenda á hættum framundan"
48279,"ævarandi","adj","sem varir að eilífu, eilífur"
18692,"heimildarrit","n n","rit sem birtir byggir á sannsögulegum heimildum"
31292,"ólæsilegur","adj","sem er ómögulegt að lesa"
25681,"langvinnur","adj","sem varir lengi"
