"flid","ord","ordflokkur","texti"
6116,"blóðvöllur","n m","staður þar sem menn eða dýr hafa verið drepin með vopnum"
54342,"sjálfsvorkunn","n f","það að vorkenna sjálfum sér"
39655,"stóreignamaður","n m","sá eða sú sem á mjög miklar eignir"
59742,"Norðurlandabúi","n m","íbúi á Norðurlöndum"
41657,"tilkostnaður","n m","útgjöld vegna einhvers ákveðins þáttar"
59716,"fornbókaverslun","n f","verslun sem selur gamlar og oft verðmætar bækur"
6125,"blómabeð","n n","reitur í garði fyrir skrautblóm"
6128,"blómahaf","n n","samsafn af blómum, breiða af blómum"
16130,"gosdrykkur","n m","óáfengur drykkur með gosi, kolsýru í"
59691,"fornbókabúð","n f","fornbókaverslun"
17355,"hafraseyði","n n","síað seyði af hafragrjónum eða haframjöli"
47011,"þingmennska","n f","það að vera þingmaður, starf þingmanns"
21265,"hugarstríð","n n","andleg vanlíðan, óróleiki í huganum"
21012,"hrjáður","adj","þjakaður"
17813,"harðlendi","n n","þurrt gróðursvæði með þéttri rót og hörðum jarðvegi"
43414,"dvalarkostnaður","n m","kostnaður við húsnæði og fæði"
10955,"ferðakostnaður","n m","kostaður við ferð, aksturskostnaður og dagpeningar"
55901,"stórhertogi","n m","titill ríkjandi fursta á sjálfstæðu svæði, milli hertoga og konungs"
9976,"elli","n f","gamall aldur, efri árin"
9993,"elliórar","n mpl","rugl og gleymska í gömlu fólki"
44243,"útvarpsbylgja","n f","bylgja af (yfirleitt) hárri tíðni sem er notuð m.a. til fjarskipta"
32384,"puttaferðalag","n n","ferð þar sem ferðalangur reynir að stoppa farartæki og fá far með því að setja þumalfingur út í loft"
55950,"sinfóníuhljómsveit","n f","stór hljómsveit sem flytur sinfóníska tónlist"
20390,"hokur","n n","það að búa litlu og lélegu búi, hokurbúskapur"
11488,"fjallferð","n f","það að fara í fjárleit og smölun á afrétt"
42058,"toppskarfur","n m","svartur, hálslangur sjófugl með fjaðratopp á höfði"
4308,"áreitinn","adj","sem er með áreitni"
49820,"tóbaksklútur","n m","vasaklútur sem neftóbaksmenn nota, oftast rauð- eða blámynstraður"
4378,"ás","n m","aflöng, ávöl hæð í landslagi"
17416,"haglendi","n n","landsvæði þar sem búfjárhagar eru"
41317,"táinn","adj","sundurgreiddur"
55838,"hátíðarmessa","n f","guðsþjónusta með hátíðlegu sniði á hátíðisdegi"
53203,"efnahagsbrot","n n","refsivert athæfi í auðgunarskyni sem fram fer kerfisbundið í rekstri sem að öðru leyti er löglegur (t.d. skipuleg skatta- og bókhaldsbrot í fyrirtæki)"
12855,"forystumaður","n m","sá eða sú sem er í forystu"
42204,"trana","n f","stór grár hálslangur og háfættur fugl (af ætt Gruidae)"
52817,"byssuhlaup","n n","sá hluti byssu sem skotið fer eftir, þ.e. hólkurinn"
42698,"tæja","v","greiða sundur (ull)"
5921,"blekpenni","n m","penni með sérstökum oddi, fylltur með bleki"
59562,"flagnaður","adj","farinn af í flygsum"
63845,"netkönnun","n f","rafræn könnun sem fer fram á netinu (vefnum)"
55890,"herbergiskytra","n f","mjög lítið og þröngt herbergi"
17934,"haukfránn","adj","skarpur"
14384,"fyrirlestraferð","n f","ferð, t.d. fræðimanns, til að að halda erindi um tiltekið efni"
13153,"framhaldsdeild","n f","deild í skóla sem tekur við af grunnnámi"
10768,"fákur","n m","hestur"
13191,"framkoma","n f","hegðun"
64024,"ráðstefnusalur","n m","stór salur, t.d. á hóteli, ætlaður fyrir ráðstefnur"
18397,"heiðarland","n n","óbyggt land (í nokkurri hæð) milli byggða eða ofan byggðar"
56218,"listaheimur","n m","hópur fólks sem stundar listir"
35166,"sérlegur","adj","áhersluorð: sérstakur, mjög mikill"
4061,"á hinn bóginn","adv","að hinu leytinu, hins vegar"
13425,"fráskák","n f","skák sem verður við það að taflmaður er færður úr valdalínu"
55214,"jóna","n f","vefja eða vindlingur með marijúana (enska joint)"
63844,"netkosning","n f","rafræn kosning sem fer fram á netinu (vefnum)"
64023,"ráðningartími","n m","tímabilið sem maður er ráðinn í tiltekið starf"
46191,"volaður","adj","vesæll"
53068,"kappsemi","n f","ákafi"
39128,"stálhraustur","adj","alveg hraustur, mjög hraustur"
39244,"stelsjúkur","adj","haldinn stelsýki"
39829,"stress","n n","andleg eða líkamleg spenna vegna álags, taugaspenna, streita"
39065,"starfrænn","adj","sem á sér ekki líkamlegar orsakir"
10660,"fastakostnaður","n m","allur kostnaður annar en beinn rekstrarkostnaður"
28227,"menningarviti","n m","sá eða sú sem er vel að sér um menningarmál líðandi stundar"
13459,"freisting","n f","e-ð sem freistar e-s"
55793,"harðindavor","n n","mjög kalt og hart vor"
13411,"fránn","adj","skarpur, hvass"
9438,"eignaupptaka","n f","það þegar hlutir eða önnur verðmæti sem standa í tilteknu sambandi við refsiverðan verknað, eru með dómi eða sátt, lagðir til ríkissjóðs án þess að endurgjald komi fyrir"
39389,"stífkrampi","n m","sjúkdómur af völdum jarðvegsgerils sem berst í líkamann um sár"
59978,"fallvaltleiki","n m","það að e-ð er fallvalt, óstöðugleiki"
26745,"ljóðagerð","n f","það að yrkja ljóð"
20583,"hópferð","n f","sameiginleg ferð margra manna í hópi, oft skipulögð af ferðaskrifstofu eða félagasamtökum"
13512,"freta","v","leysa vind, prumpa"
2601,"aflvaki","n m","kraftur sem örvar menn til dáða"
51923,"sárþjáður","adj","mjög kvalinn"
37069,"skrekkur","n m","ótti"
23522,"kaskeiti","n n","flöt húfa með hörðu deri"
18690,"heimildarmaður","n m","sá eða sú sem greinir frá e-u, upplýsir um e-ð"
39580,"stokkbólgna","v","bólgna mikið"
51515,"sárkvalinn","adj","mjög kvalinn"
39579,"stokkbólginn","adj","mikið bólginn"
9660,"einmenningskjördæmi","n n","kjördæmi þar sem aðeins einn þingmaður hlýtur kosningu"
55952,"rokkhljómsveit","n f","hljómsveit sem leikur rokktónlist"
40240,"sullur","n m","vökvafyllt blaðra í líkamanum eftir sullabandorm"
13230,"framleiðslukostnaður","n m","kostnaður við að framleiða vöru"
56671,"kommúnistaflokkur","n m","stjórnmálaflokkur sem aðhyllist kommúnisma"
42387,"trúr","adj","sem ekki svíkur, tryggur"
39809,"streita","n f","andleg eða líkamleg spenna vegna álags, stress, taugaspenna"
17364,"hafsbrún","n f","sjóndeildarhringur yfir hafi"
20038,"hljómleikaferð","n f","ferð tónlistarmanns eða hljómsveitar til að halda tónleika"
6169,"blótsyrði","n n","formælingar, ljót orð, bölv og ragn"
6172,"blundur","n m","stuttur svefn"
59023,"leigukaup","n npl","kaupleiga"
42931,"umhorfs","adv","til að líta, umhverfis"
17875,"harmkvæli","n npl","erfiði, þjáning"
40785,"svæfingalæknir","n m","læknir er er sérfræðingur í svæfingum"
25233,"kynnisferð","n f","ferð til að kynna sér eitthvað sérstakt og fræðast"
40791,"svöðusár","n n","ljótt og mikið sár"
40860,"sýklalyf","n n","lyf sem drepur eða hindrar vöxt sýkla"
14529,"fæðiskostnaður","n m","útgjöld vegna máltíða"
51361,"þrekmikill","adj","sem hefur mikið þrek"
2260,"aðalsætt","n f","ætt sem tilheyrir forréttindastétt og ber aðalstitla"
31207,"óknyttir","n mpl","hrekkir og slæm hegðun"
40856,"sýkla","n f","lag utan á tönnum af matarleifum og gerlum (sem veldur tannátu)"
32962,"reiðmaður","n m","sá eða sú sem ríður hesti"
43920,"útfararkostnaður","n m","sá kostnaður sem til fellur vegna jarðarfarar"
40966,"sængurlega","n f","það að liggja í rúminu (einkum eftir barnsburð)"
49017,"tvíhjóla","adj","með tveimur hjólum"
58005,"pókerfés","n n","svipbrigðalaust andlit"
40965,"sængurkvennadeild","n f","deild á sjúkrahúsi fyrir mæður með nýfædd börn"
40923,"sæðisgjafi","n m","maður sem gefur sæði"
57849,"mæðutónn","n m","raddblær sem ber vott um hugarangur"
6177,"blúss","n n","mikill hraði"
24484,"kostnaðarliður","n m","einn ákveðinn þáttur í heildarkostnaði"
48658,"mælir","n m","áhald til að mæla t.d. hita, hæð yfir sjávarmáli, jarðskjálfta ..."
11605,"fjárfrekur","adj","sem krefst mikilla peninga"
49254,"könnunarferð","n f","ferð til að kanna eitthvað sérstaklega"
11645,"fjármagnsfrekur","adj","sem krefst mikils fjármagns"
24188,"klofbót","n f","sérstakt stykki saumað milli skálmanna á buxum"
41352,"táragöng","n npl","göng úr innri augnkrók niður í nef"
24954,"kúristi","n m","sá eða sú sem stundar nám af mikilli elju"
11979,"flámæltur","adj","sem hefur þau máleinkenni að sérhljóðin i og u verða fjarlægari en í öðrum mállýskum og líkjast meira e og ö (erfitt verður að greina á milli i og e annars vegar og u og ö hins vegar)"
41353,"tárakirtill","n m","kirtill undir augabrún sem gefur frá sér tár"
41582,"tileygð","n f","það að vera tileygður"
5055,"bágindi","n npl","miklir erfiðleikar, bágar aðstæður"
29295,"naggrís","n m","tegund nagdýrs, oft haft sem gæludýr"
57983,"brjóstnæla","n f","næla til skrauts, brjóstnál"
56787,"býflugnakúpa","n f","býkúpa"
41584,"tileygður","adj","með augu sem ekki eru samstillt, þar sem annað augað vísar aðeins til hliðar"
2929,"alelda","adj","sem eldur logar í hvert sem litið er"
29287,"nafnvextir","n mpl","vextir án tillits til verðþróunar"
43583,"uppsprengdur","adj","sem hefur verið hækkaður mikið"
46349,"vöggudauði","n m","dauði ungbarns af ókunnum orsökum"
9878,"eldglæringar","n fpl","miklir neistar frá opnum eldi"
16969,"guðrækinn","adj","sem rækir trú sína, guðhræddur"
43927,"útferð","n f","leki vökva eða slíms frá sári eða kynfærum"
6188,"blygðunarsemi","n f","kynferðisleg siðferðistilfinning"
47034,"þingvitni","n n","réttarvottur, einkum á manntalsþingi, þingvottur"
45374,"vesæld","n f","slæmt ástand"
46048,"vígtönn","n f","stór og hvöss tönn í rándýri, í sæti augntannar"
60222,"snjallsími","n m","farsími sem er búinn eiginleikum tölvu"
32232,"prakkarastrik","n n","það sem er gert í stríðni, hrekkur"
47520,"þrívíddarskyn","n n","það að augun nema dýpt í umhverfinu"
3844,"aurbleyta","n f","bleyta í sendnum jarðvegi"
47703,"þungunarpróf","n n","þvagpróf til að ákvarða hvort kona sé barnshafandi"
2261,"aðaltenging","n f","samtenging sem tengir saman aðalsetningar eða einstaka setningarhluta (og, en, eða)"
31842,"pappi","n m","þykkt og stíft efni úr samanpressuðum trefjum"
48066,"æðahnútur","n m","hnýttar, þrútnar bláæðar, einkum á fótleggjum"
26061,"leikfimi","n f","líkamsæfingar til að styrkja líkamann"
37215,"skrúfstykki","n n","áhald notað við smíðar, til að halda föstum hlutum sem verið er að vinna við"
3492,"asahláka","n f","hlýindi, sem koma snögglega (oftast samfara mikilli úrkomu)"
9899,"eldibrandur","n m","spýta eða lurkur með logandi eldi í"
17725,"handverk","n n","það sem unnið er með höndunum"
19852,"hlákubloti","n m","hláka sem stendur stutt og bleytir aðeins í snjó en bræðir ekki"
5974,"blindbylur","n m","mikil snjókoma samfara hvassviðri svo að vart sér út úr augum"
9940,"eldsvoði","n m","eldur sem veldur hættu og tjóni"
11797,"fjölhæfur","adj","flinkur á mörgum sviðum"
19851,"hláka","n f","hlýindi (oftast með regni), sem vinnur á snjó og ís"
6207,"blæjubíll","n m","bíll með tauþaki sem hægt er að leggja niður"
6221,"blöff","n n","e-ð sem er haft til blekkingar, blekking"
48082,"æðasláttur","n m","púls, sláttur í slagæðum"
34244,"samábyrgur","adj","ábyrgur ásamt með öðrum"
36902,"skógareldur","n m","eldur sem brennur í skógi"
6230,"blöndunartæki","n n","krani fyrir heitt og kalt vatn"
48083,"æðaveggur","n m","veggur slagæðar eða bláæðar úr vöðvavef og bandvef"
24434,"konunghollur","adj","tryggur konungi sínum"
6213,"blætisdýrkun","n f","það að hafa girnd til hluta"
6208,"blæjujeppi","n m","jeppi með tauþaki sem hægt er að taka niður"
20699,"hrakviðri","n n","hvassviðri með úrkomu (svo að menn og skepnur verða að gæta sín)"
18949,"hellidemba","n f","áköf rigningarskúr stutta stund"
8036,"deigja","n f","lítils háttar væta, raki"
36900,"skógarbruni","n m","eldur sem brennur í skógi"
6249,"boðgreiðsla","n f","föst greiðsla af kreditkorti"
14231,"fúlviðri","n n","stífur vindur með dimmviðri og úrkomu"
10540,"fannkoma","n f","snjókoma (oftast samfara vindi og frosti)"
6247,"boðflenna","n f","óboðinn gestur"
42498,"turtildúfa","n f","lítil dúfutegund"
32967,"reiðtúr","n m","(stutt) ferð á hestbaki"
3630,"atvinnuleysi","n n","það að hafa ekki atvinnu, það að vera atvinnulaus"
10535,"fannburður","n m","mikil snjókoma samfara hvassviðri og frosti"
20757,"hregg","n n","úrkoma, snjór eða regn með nokkrum kalsavindi"
3631,"atvinnuleysingi","n m","atvinnulaus maður"
21142,"hryðja","n f","skammvinn, skyndileg úrkoma, snjór, él, slydda eða regn, með hvössum vindi"
21450,"hundaveður","n n","votviðri, slyddukennt, með hvössum vindi"
20682,"hraglandi","n m","lítils háttar snjókoma eða rigningardropar með nokkrum vindi"
23095,"jarki","n m","útjaðar fótar"
64050,"réttargeðdeild","n f","lokuð geðdeild fyrir dæmda afbrotamenn"
21481,"hundslappadrífa","n f","snjókoma í stilltu veðri þar sem snjókornin eru óvenju stór"
37362,"skúraveður","n n","veðurfar þegar gengur á með skúrum og uppstyttu á milli"
20976,"hríðarkóf","n n","áköf, þétt og fíngerð snjókoma ásamt vindi"
49822,"æðakerfi","n n","kerfi allra æða líkamans, blóðæða og vessaæða"
20974,"hríðarbylur","n m","áköf snjókoma með hvassviðri"
38465,"sólmánuður","n m","gamalt mánaðarheiti, byrjar 18.-24. júní"
20863,"hret","n n","skammvinnt kuldakast, einkum að vori, með snjókomu eða kalsarigningu"
43442,"uppkveikja","n f","efni sem þarf til að kveikja eld"
30434,"ofanburður","n m","mikil snjókoma"
28931,"mugga","n f","nokkur snjókoma í hægu veðri, snjómugga"
33607,"rosi","n m","hvassviðri með kalsarigningu, slyddu eða krapaéljum, rosaveður"
20865,"hretviðri","n n","kuldakast með kalsaúrkomu"
26624,"líkamsbeiting","n f","það hvernig líkamanum er beitt"
37577,"slagveður","n n","hvassviðri, stormur, samfara miklu regni"
3620,"atvinnubótavinna","n f","framkvæmdir á vegum hins opinbera til að draga úr atvinnuleysi"
31606,"ósyndur","adj","sem kann ekki að synda"
22766,"íkveikja","n f","það að kveikja eld í hlutum eða að eldur kviknar í e-u"
44748,"vatnsveður","n n","allmikil rigning"
33606,"rosaveður","n n","hvassviðri með kalsarigningu, slyddu eða krapaéljum"
33335,"rigning","n f","úrkoma sem fellur í vatnsdropum úr rakamettuðu lofti (skýjum), regn"
3654,"atvinnutækifæri","n n","tilboð um starf, möguleiki á starfi"
48619,"öskuhríð","n f","mikil snjókoma með vindi og litlu skyggni"
6944,"brími","n m","ástríðuhiti"
6263,"boðsgestur","n m","gestur sem hefur verið boðið"
6942,"bríarí","n n","óyfirvegað uppátæki, skyndihugdetta"
40172,"suddi","n m","þétt, fíngerð rigning"
6266,"boðskort","n n","skriflegt boð til samkomu"
40373,"súld","n f","úðarigning í þoku og hægu veðri, suddi"
37359,"skúr","n f","regn sem stendur fremur stutta stund í einu"
46272,"votviðri","n n","tíðarfar sem einkennist af rigningum"
43814,"úrhelli","n n","mikil rigning, úrfelli"
49038,"almenningsgarður","n m","opið svæði, einkum í bæ eða borg, með skipulagðri trjá- og blómarækt, ætlað almenningi til afþreyingar"
22388,"iður","n npl","innyfli"
27937,"málkennd","n f","tilfinning fyrir (réttu) máli og orðanotkun, málvitund"
6952,"brjálæðingur","n m","mjög geðveikur maður, vitfirringur"
6949,"brjálsemi","n f","geðveiki, vitfirring"
46741,"þal","n n","efnið (vefurinn) í þörungum, fléttum og sveppum"
9657,"einmánuður","n m","gamalt mánaðarheiti, byrjar 20.-26. mars"
15977,"glæður","n fpl","glóð"
6950,"brjálun","n f","sturlun, geðbilun"
6281,"bogahestur","n m","sérstakt fimleikatæki, aflangur búkki með tveimur handarhöldum sem gerðar eru æfingar á"
15825,"glettinn","adj","sem er með glettur, stríðinn"
6287,"bogaskot","n n","skot af boga"
34646,"sanseraður","adj","með málmgljáa"
15901,"glóð","n f","logandi, rautt heitt efni, t.d. í kolum"
6964,"brjóstahaldari","n m","nærflík til að styðja við brjóstin"
49050,"alvörusvipur","n m","andlitssvipur sem ber vitni um alvöru"
6967,"brjóstamjólk","n f","mjólk konu"
35371,"sinueldur","n m","eldur í sinu (þurru, háu grasi)"
35699,"sjóaður","adj","sem er ýmsu vanur, reyndur"
29695,"neisti","n m","örsmá ögn af eldi (sem hrekkur t.d úr báli)"
6971,"brjóstbirta","n f","vín til að hlýja sér og hressa sig á"
9938,"eldsupptök","n npl","orsök eldsvoða"
45100,"venjubundinn","adj","bundinn venju eða vana, venjulegur"
17418,"haglél","n n","úrkoma sem fellur sem hagl"
37863,"smali","n m","sá eða sú sem sér um að smala búfé, smalamaður"
3644,"atvinnumiðlun","n f","stofnun sem sér um að útvega fólki störf/fólk til starfa"
37578,"slagviðri","n n","stormur og regn, slagveður"
40682,"svipbrigði","n npl","breytingar á andlitssvip"
2722,"aftakarok","n n","afar mikið rok, ofsastormur"
6976,"brjóstgæði","n npl","gott innræti, góðvild"
4981,"barnsnauð","n f","fæðing barns"
3994,"áfelli","n n","slæmt kuldakast, t.d. að vori"
31504,"ósjór","n m","erfitt sjólag, viðsjárvert öldulag"
22450,"illviðri","n n","vont veður til útiverka eða útiveru"
35926,"skafbylur","n m","vindur með miklum skafrenningi"
31629,"ótíð","n f","erfitt veðurfar, rigningar og kuldi"
29966,"norðangarður","n m","skyndilegt stórviðri að norðan, oft með fannburði og frosthörku dögum saman"
21854,"hvirfilbylur","n m","ofsastormur sem gengur hring á afmörkuðu svæði, hvirfilvindur"
27575,"manndrápsveður","n n","þvílíkt veður að fólki er hætt á sjó og landi"
2420,"aðsúgur","n m","áreitni þar sem hópur ræðst á einstakling eða minni hóp"
17856,"harðviðri","n n","hvassviðri og kuldi"
29830,"niður fyrir","prae","lengra niður en (e-ð)"
11170,"fiður","n n","fjaðrir fugls aðrar en flugfjaðrir"
35953,"skakviðri","n n","stífur vindur, stormur"
44805,"veðrahamur","n m","slæmt veður með miklum vindi, veðurhamur"
33734,"ruddaveður","n n","blautt og kalt veður, hráslagaveður"
5979,"blindhríð","n f","þétt snjókoma svo að vart sér út úr augum, blindbylur"
37187,"skrugguveður","n n","þrumuveður"
24736,"krómaður","adj","húðaður með krómi"
